【快递/小包.xlsx】,,,,,,,,,,,,,,,,,
工作号,发货仓库,公司名,货量,创建时间,取件日期(E),派送日期(E),包装件数,重量,体积,材积,货物品名,业务员,签收方式,签出/出仓时间,销售额,货值,CTN/MAWB#
KD23122444166,WNT485,abc,10-04006-141 X 1; 10.900KGS 0.065093CBM,2023-12-13 11:18:01,2023-12-15 00:00:00,,1.00,10.90,0.0651,10.90, Space heater,yao ,,2023-10-16 05:08:00,,,
KD23102386184,,Francisco,110.4KGS 0.014CBM,2023-10-18 21:18:43,2023-10-18 23:00:00,2023-10-23 23:00:00,2.00,110.40,0.014,110.40,,,,2023-10-18 21:21:09,,,
KD23102386170,,Jimenez Jimmy,F8 Battery X 1; 4KGS 0.001CBM,2023-10-18 18:38:22,2023-10-18 23:00:00,2023-11-14 00:00:00,1.00,4.00,0.001,4.00,F8 F8 Battery,lu tony,2,2023-10-18 18:42:29,,,
KD23102386156,WNT485,XXXXX,1722FFM0100US X 1; 5.100KGS 0.084000CBM,2023-10-18 13:45:50,2023-10-18 23:00:00,2023-10-18 23:00:00,1.00,5.10,0.084,14.00, 脚垫,客服2 ,,2023-10-18 15:05:55,,,
KD23102386152,20450,,VB6N117MG X 1; 12.7KGS 0.0476CBM,2023-10-18 11:15:22,2023-10-17 23:00:00,,1.00,12.70,0.0476,12.70, VB6N117MG,yao ,,2023-10-18 13:09:34,,USD170.00,
KD23102386151,425,Barbara Cheeseman,11050462-WHITE-L-STD X 1; 0.680KGS 0.005506CBM,2023-10-18 10:00:15,2023-10-17 23:00:00,2023-10-20 23:00:00,1.00,0.68,0.0055,0.918, Side Cargo Pant,cong xiaolong,,2023-10-18 10:21:43,0.00,,
KD23102386147,WNT485,abc,10-04004-105 X 1; 1.750KGS 0.010400CBM,2023-10-18 09:57:12,2023-10-19 23:00:00,2023-10-23 23:00:00,1.00,1.75,0.0104,1.75, Space heater,yao ,,2023-10-18 14:20:52,,,
KD23102386148,WNT485,abc,10-15004-091 X 1; 9.120KGS 0.112942CBM,2023-10-18 09:57:12,2023-10-19 23:00:00,,1.00,9.12,0.1129,18.824, Parts,yao ,,2023-10-18 14:13:12,,,
KD23102386149,WNT485,abc,10-01001-102 X 2; 10.800KGS 0.101556CBM,2023-10-18 09:57:12,2023-10-19 23:00:00,2023-10-24 23:00:00,2.00,10.80,0.1016,16.926, Tower Fan,yao ,,2023-10-18 13:43:29,,,
KD23102386150,WNT485,abc,10-04011-101 X 1; 0.000KGS 0.066446CBM,2023-10-18 09:57:12,2023-10-19 23:00:00,2023-10-19 23:00:00,1.00,0.00,0.0664,11.074, Space heater,yao ,,2023-10-18 14:17:04,,,
KD23102386143,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:11,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
KD23102386144,WNT485,abc,10-16003-121 X 1; 0.000KGS 0.031680CBM,2023-10-18 09:57:11,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0317,5.28, Humidifier,yao ,,2023-10-18 14:17:04,,,
KD23102386145,WNT485,abc,10-04009-122 X 1; 0.000KGS 0.034336CBM,2023-10-18 09:57:11,2023-10-19 23:00:00,2023-10-24 23:00:00,1.00,0.00,0.0343,5.723, Space heater,yao ,,2023-10-18 13:50:48,,,
